id,indirizzo,lat,lon
0,20173 Milano (MI) 83 Via Novara,45.4709014,9.120640600000002
1,20123 Milano (MI) 47 Via Torino,45.4612176,9.1853717
3,20092 Cinisello Balsamo (MI) Viale Fulvio Testi 132,45.540803,9.221438
4,20123 Milano (MI) 2 Passaggio Duomo,45.4643528,9.188342
5,20174 Milano (MI) 48 Via Paolo Sarpi,45.481268,9.1731555
6,20171 Milano (MI) 23 Via Quarenghi,45.4964691,9.113666799999999
7,20176 Milano (MI) 134 Viale Certosa,45.4960779,9.1392323
8,20123 Milano (MI) Viale Papiniano,45.4585593,9.1693117
9,20124 Milano (MI) Via Felice Casati,45.4789561,9.2031256
10,20171 Milano (MI) Via Alcide De Gasperi,45.5287595,9.0768545
11,20124 Milano (MI) 2 Via Tadino,45.4754493,9.2045637
12,20124 Milano (MI) 79 Corso Buenos Aires,45.4803248,9.2106389
13,20122 Milano (MI) 2 Piazza Sant'Eustorgio,45.4531526,9.1805354
14,20171 Milano (MI) 15 Via Monteverdi,45.48351,9.2146335
15,20175 Milano (MI) 9 Strada Paullese,45.4335521,9.2623613
16,20124 Milano (MI) Corso Buenos Aires,45.4809619,9.2115403
17,20090 Pantigliate (MI) 13 Strada Vecchia Paolessa,45.4396389,9.356399999999999
18,20037 Paderno Dugnano (MI) 35 Strada Statale,45.5748958,9.180468399999999
19,20129 Milano (MI) 38 Via Calvi,45.462468,9.210233299999999
20,20014 Nerviano (MI) 33 Strada Statale Del Sempione,45.55787970000001,8.977050499999999
21,20174 Milano (MI) 6 Via Lomazzo,45.48134839999999,9.1730456
22,20178 Milano (MI) 144 Via Rogoredo,45.42368320000001,9.2501794
23,20179 Milano (MI) Via Marco D'Agrate,45.4369176,9.212769699999999
24,20171 Milano (MI) 28 Via Antonini,45.4369169,9.1921736
25,20177 Milano (MI) Via Lorenteggio,45.44900750000001,9.1338077
26,20024 Garbagnate Milanese (MI) 58 Via Peloritana,45.5759347,9.0665757
27,20094 Corsico (MI) Viale Dell'Industria,45.4301891,9.081599299999999
28,20178 Milano (MI) 5 Piazzale Lotto,45.4789802,9.142215199999999
29,20026 Novate Milanese (MI) 1 Via Carlo Amoretti,45.51924959999999,9.1495464
30,20179 Milano (MI) 79/81 Via Farini,45.49606199999999,9.185561
31,20175 Milano (MI) 37 Corso Vercelli,45.4663286,9.1597364
32,20124 Milano (MI) 4/8 Piazza Duca D'Aosta,45.48382489999999,9.203764999999999
33,20098 San Giuliano Milanese (MI) Via Della Pace,45.380635,9.306287099999999
34,20099 Sesto San Giovanni (MI) 10 Via Milanese,45.5301386,9.2164248
35,20027 Rescaldina (MI) 4 Via Togliatti,45.6094804,8.963471000000002
36,20090 Quartiere Tessera (MI) 1 Via Don Luigi Sturzo,45.4353205,9.0876595
37,20099 Sesto San Giovanni (MI) 555 Viale Italia,45.5502911,9.256478099999999
38,20060 Bellinzago Lombardo (MI) 154 Strada Padana Superiore,45.5407908,9.445945799999999
39,20061 Carugate (MI) Strada Provinciale 208 Km 2,45.5463897,9.3290998
40,20081 Abbiategrasso (MI) 101 Via Dante Alighieri,45.3831104,8.9167843
41,20060 Vignate (MI) 154 Strada Provinciale Cassanese,45.500774,9.3372324
42,20174 Milano (MI) 37 Corso Vercelli,45.4663286,9.1597364
43,20124 Milano (MI) 79 Corso Buenos Aires,45.4803248,9.2106389
44,20121 Milano (MI) 3 Via Ugo Foscolo,45.4653865,9.1907062
